,Aga1,Aga2,Aga3,Aga4,Aga5,Aga6,Aga7,Aga8,Aga9,Aga10,Aga11,Aga12,Aga13,Aga14,Aga15,Aga16,Aga17,Aga18,Aga19,Aga20,Aga21,Aga22,Aga23,Aga24,Aga25,Aga26,Aga27,Aga28,Aga29,Aga30,Aga31,Aga32,Aga33,Aga34,Aga35,Aga36,Aga37,Aga38,Aga39,Aga40,Aga41,Aga42,Aga43,Aga44,Aga45,Aga46,Aga47,Aga48,Aga49,Aga50,Aga51,Aga52,Aga53,Kiri1,Kiri2,Kiri3,Kiri4,Kiri5,Kiri6,Kiri7,Kiri8,Kiri9,Kiri10,Kiri11,Kiri12,Kiri13,Kiri14,Kiri15,Kiri16,Kiri17,Kiri18,Kiri19,Kiri20,Kiri21,Kiri22,Kiri23,Kiri24,Kiri25,Kiri26,Kiri27,Kiri28,Kiri29,Kiri30,Kiri31,Kiri32,Kiri33,Kiri34,Kiri35,Kiri36,Kiri37,Kiri38,Kiri39,Kiri40,Kiri41,Kiri42,Kiri43,Kiri44,Kiri45,Kiri46,Kiri47,Kiri48,Kiri49,Kiri50,Kiri51,Kiri52,Kiri53
1131.096774,0.119675,0.122285,0.124501,0.175607,0.192091,0.187817,0.170642,0.178915,0.158982,0.15161,0.14269,0.150892,0.129041,0.122696,0.140821,0.12192,0.106977,0.110908,0.112163,0.122817,0.113554,0.129323,0.10351,0.135003,0.093385,0.099379,0.093309,0.094369,0.08814,0.073977,0.092691,0.096756,0.095331,0.058287,0.06203,0.059425,0.063772,0.059258,0.072578,0.09765,0.086424,0.073155,0.091421,0.094286,0.094887,0.102311,0.106021,0.112579,0.10624,0.06381,0.118367,0.089618,0.099102,0.13685,0.133233,0.145844,0.150876,0.123884,0.153506,0.150968,0.142233,0.131113,0.112314,0.115133,0.118486,0.106208,0.11097,0.10629,0.096208,0.100177,0.098247,0.075453,0.096867,0.087281,0.086466,0.085583,0.086527,0.071238,0.059995,0.068903,0.061663,0.064908,0.049554,0.061638,0.062339,0.049053,0.066012,0.037335,0.040581,0.039035,0.038759,0.038672,0.042435,0.055018,0.051999,0.057575,0.06259,0.071854,0.063298,0.073689,0.078811,0.078203,0.072281,0.078548,0.074251,0.082326
1137.291129,0.132927,0.134558,0.13636,0.187334,0.202577,0.198225,0.179737,0.188075,0.167654,0.159703,0.151463,0.158336,0.136021,0.129019,0.147328,0.129016,0.112916,0.117058,0.118295,0.128669,0.118702,0.135554,0.108704,0.140625,0.098806,0.105053,0.098592,0.099547,0.092978,0.0789,0.097499,0.101478,0.100054,0.063209,0.066967,0.064284,0.068595,0.064118,0.07731,0.103014,0.091691,0.078467,0.096353,0.099079,0.099623,0.106721,0.110453,0.116784,0.110321,0.068227,0.122097,0.093012,0.101681,0.152983,0.148997,0.161085,0.164305,0.137065,0.165665,0.162669,0.153068,0.140996,0.121848,0.123358,0.127354,0.114415,0.118155,0.112744,0.102562,0.106359,0.104,0.081173,0.101976,0.091775,0.091058,0.089886,0.090768,0.075412,0.063935,0.072656,0.065179,0.06813,0.052649,0.064738,0.065245,0.052061,0.06886,0.040366,0.043354,0.04188,0.04153,0.041407,0.045865,0.058098,0.054847,0.060186,0.065138,0.074402,0.065729,0.076001,0.081134,0.080327,0.074432,0.080465,0.075855,0.083369
1143.485484,0.148515,0.148891,0.150194,0.201086,0.214852,0.21029,0.19032,0.19863,0.177595,0.168977,0.161674,0.166994,0.144191,0.136334,0.15467,0.137189,0.119871,0.124154,0.125338,0.13534,0.124626,0.142656,0.114408,0.146986,0.104776,0.111271,0.104528,0.105301,0.098219,0.084262,0.102678,0.106745,0.105106,0.068575,0.072307,0.069582,0.073855,0.069219,0.082269,0.10897,0.097526,0.084383,0.101909,0.10428,0.104699,0.111521,0.11547,0.121416,0.114602,0.072875,0.125947,0.095903,0.103268,0.172075,0.167624,0.17892,0.18011,0.152572,0.179855,0.176327,0.165649,0.152596,0.132824,0.133052,0.137612,0.123941,0.126429,0.11998,0.109908,0.1136,0.110678,0.08796,0.107792,0.097054,0.09639,0.094827,0.095862,0.0803,0.068504,0.077118,0.069465,0.072005,0.056614,0.068364,0.068931,0.055748,0.072311,0.044004,0.046761,0.045407,0.044844,0.044755,0.049967,0.061939,0.058447,0.063486,0.068232,0.07731,0.068661,0.078964,0.084076,0.083015,0.07705,0.082781,0.077447,0.084353
1149.679839,0.163895,0.163406,0.164117,0.214711,0.227018,0.222317,0.200947,0.209429,0.187755,0.178534,0.171922,0.175758,0.152577,0.14415,0.162494,0.145727,0.127254,0.131768,0.132808,0.142651,0.131139,0.150114,0.120753,0.153943,0.111449,0.118201,0.111103,0.111778,0.104265,0.090474,0.108643,0.11261,0.111024,0.074807,0.078354,0.075822,0.079899,0.075198,0.088083,0.115803,0.104115,0.091102,0.108227,0.110237,0.110755,0.11704,0.121145,0.126642,0.119595,0.078365,0.130492,0.099345,0.105053,0.190138,0.18521,0.195782,0.194969,0.167049,0.193137,0.189024,0.17746,0.163547,0.143109,0.142076,0.147207,0.133007,0.134334,0.127079,0.116998,0.120584,0.117211,0.09458,0.113731,0.102475,0.101788,0.100061,0.101313,0.085452,0.073526,0.081966,0.074151,0.076517,0.061146,0.072688,0.073114,0.06022,0.07643,0.048453,0.051042,0.049581,0.048973,0.048921,0.054984,0.066474,0.062853,0.067621,0.072125,0.081199,0.072395,0.08271,0.087639,0.086313,0.080434,0.085901,0.07972,0.085855
1155.874194,0.176574,0.175203,0.17563,0.226051,0.237302,0.232436,0.210191,0.218439,0.196573,0.186972,0.180828,0.18373,0.160318,0.151449,0.169641,0.153485,0.134405,0.138888,0.139908,0.149463,0.137585,0.157346,0.127154,0.160414,0.118093,0.125039,0.117662,0.118268,0.110401,0.09686,0.114927,0.118826,0.117047,0.081165,0.084672,0.08217,0.086118,0.081479,0.094218,0.122335,0.110775,0.097798,0.114682,0.116432,0.116944,0.122873,0.127037,0.132231,0.125054,0.08424,0.135638,0.103327,0.107813,0.203584,0.198496,0.208443,0.206395,0.178125,0.203184,0.198632,0.186502,0.171821,0.151134,0.149228,0.154749,0.140101,0.140672,0.13285,0.122866,0.12639,0.122625,0.100058,0.118672,0.107172,0.106555,0.104623,0.105928,0.090104,0.078218,0.086409,0.078553,0.080847,0.065595,0.076956,0.077266,0.064528,0.080562,0.052886,0.055307,0.05387,0.053178,0.053206,0.059763,0.071003,0.067126,0.071779,0.076101,0.08513,0.076254,0.086544,0.091527,0.089913,0.084043,0.089426,0.082569,0.088101
1162.068548,0.184761,0.182989,0.183167,0.233354,0.243948,0.239193,0.216462,0.224629,0.202515,0.192705,0.186908,0.189224,0.165758,0.156792,0.174794,0.158978,0.13957,0.144059,0.145163,0.154406,0.142424,0.162567,0.131884,0.165223,0.122997,0.130039,0.122597,0.123241,0.115279,0.101725,0.119821,0.123675,0.121769,0.086169,0.08954,0.087112,0.091131,0.086379,0.099014,0.127372,0.115795,0.10289,0.119541,0.12138,0.121728,0.127459,0.131725,0.136821,0.1294,0.089016,0.139921,0.106738,0.110906,0.211353,0.206175,0.215913,0.213112,0.184686,0.209241,0.204178,0.191945,0.176772,0.155936,0.153542,0.159319,0.144434,0.1446,0.13648,0.126493,0.129978,0.126115,0.103546,0.121865,0.110239,0.109692,0.107694,0.10911,0.093194,0.081323,0.089442,0.0816,0.083926,0.068604,0.08001,0.08028,0.067561,0.083436,0.055922,0.058261,0.057012,0.056245,0.056313,0.063117,0.074165,0.070239,0.074791,0.079122,0.088001,0.079235,0.089525,0.094399,0.092638,0.086877,0.09217,0.084886,0.09025
1168.262903,0.187645,0.185567,0.185655,0.236096,0.246237,0.241493,0.218628,0.226844,0.204686,0.194824,0.189294,0.191243,0.167823,0.158862,0.176755,0.161243,0.141777,0.146281,0.147222,0.156537,0.144519,0.164765,0.133961,0.167054,0.12507,0.132096,0.12483,0.125476,0.117417,0.103947,0.122129,0.125884,0.123829,0.088465,0.091888,0.089492,0.093436,0.088732,0.10122,0.129505,0.118025,0.105175,0.121847,0.12348,0.123881,0.129513,0.13378,0.13872,0.131541,0.091297,0.142051,0.108652,0.113144,0.213459,0.208176,0.217793,0.214949,0.186387,0.210584,0.205379,0.193321,0.178115,0.157214,0.154947,0.160557,0.145666,0.145711,0.137601,0.127523,0.131011,0.127011,0.1045,0.12275,0.111154,0.11058,0.108617,0.10995,0.09405,0.082133,0.090375,0.082516,0.084941,0.069694,0.081035,0.081237,0.068601,0.084382,0.057092,0.059299,0.058119,0.057271,0.057426,0.064347,0.075343,0.071297,0.075805,0.080083,0.089043,0.080215,0.09046,0.095443,0.093644,0.087928,0.093227,0.085928,0.091553
1174.457258,0.190493,0.188228,0.188215,0.23851,0.248418,0.24385,0.220744,0.229114,0.206847,0.197016,0.191555,0.193287,0.169851,0.161011,0.178853,0.163518,0.143825,0.148407,0.149415,0.158614,0.146661,0.166979,0.13598,0.168991,0.127205,0.134318,0.127012,0.127664,0.119699,0.106223,0.124416,0.128191,0.12612,0.090947,0.094277,0.091848,0.095783,0.091095,0.103603,0.131693,0.12023,0.107597,0.124131,0.125774,0.126232,0.131591,0.135955,0.140923,0.133748,0.093629,0.144393,0.111091,0.116392,0.215022,0.20963,0.219287,0.216405,0.187762,0.211863,0.206355,0.194351,0.179189,0.158312,0.155928,0.161501,0.146548,0.146632,0.138426,0.128336,0.13174,0.127788,0.105278,0.123322,0.111844,0.111261,0.109242,0.110626,0.094761,0.082919,0.091036,0.083097,0.085662,0.070469,0.081836,0.081925,0.069467,0.085189,0.057994,0.060081,0.058937,0.058105,0.058309,0.065321,0.076115,0.072163,0.076581,0.080884,0.089923,0.080941,0.09139,0.096367,0.09447,0.088796,0.094183,0.087099,0.093016
1180.651613,0.193051,0.190582,0.190458,0.240644,0.250574,0.24604,0.222774,0.231115,0.208961,0.199084,0.193624,0.19526,0.172013,0.163111,0.180827,0.165668,0.146045,0.150516,0.151524,0.160735,0.14879,0.169156,0.138111,0.170762,0.129479,0.136555,0.129334,0.130108,0.122029,0.108687,0.126899,0.130525,0.128389,0.093509,0.096791,0.094479,0.098375,0.093727,0.106071,0.133833,0.122637,0.109973,0.126568,0.128139,0.128659,0.133936,0.138377,0.143223,0.13617,0.096283,0.146958,0.113973,0.11992,0.21592,0.210557,0.220038,0.217204,0.188572,0.212521,0.206864,0.194951,0.179871,0.158975,0.156471,0.162072,0.147196,0.147261,0.138967,0.128857,0.132286,0.128214,0.10572,0.123867,0.112327,0.111681,0.109669,0.111006,0.095182,0.083452,0.091551,0.083708,0.086403,0.071131,0.082558,0.082564,0.070141,0.085759,0.058736,0.06072,0.059706,0.058833,0.059067,0.065983,0.076857,0.072872,0.077288,0.081554,0.090624,0.08176,0.092179,0.097158,0.095211,0.089593,0.095051,0.088179,0.094438
1186.845968,0.19655,0.194032,0.193931,0.243928,0.25362,0.249128,0.2258,0.234139,0.21186,0.201965,0.196709,0.198107,0.174813,0.165986,0.183612,0.16864,0.148954,0.153463,0.154494,0.163627,0.151739,0.172098,0.141033,0.173395,0.132472,0.139469,0.132401,0.133132,0.125179,0.111912,0.130169,0.133755,0.131552,0.096839,0.100096,0.097849,0.101736,0.09706,0.109416,0.136802,0.125622,0.113075,0.129623,0.131357,0.131926,0.137041,0.141466,0.146311,0.139484,0.099772,0.15027,0.11789,0.124461,0.217813,0.212555,0.221924,0.219027,0.190401,0.21407,0.208254,0.196413,0.181241,0.160265,0.157777,0.163384,0.148466,0.148355,0.140071,0.130001,0.133396,0.129338,0.106808,0.12477,0.113267,0.112677,0.1107,0.112062,0.096182,0.084439,0.092599,0.084679,0.08752,0.07235,0.083729,0.083655,0.071333,0.086842,0.059928,0.06185,0.060957,0.059943,0.06029,0.067151,0.078036,0.074016,0.078424,0.082766,0.09184,0.082973,0.093454,0.098462,0.096442,0.090937,0.09636,0.089975,0.096302
